source,name,category,average_rating,price_range,latitude,longitude,description
OpenStreetMap,Novax,bar,,,10.3112856,123.8990611,
OpenStreetMap,Sisters,bar,,,10.3112476,123.8988775,
OpenStreetMap,Twisted Sisters,bar,,,10.3112213,123.8987702,
OpenStreetMap,Jane Bar,bar,,,10.3116133,123.8988852,
OpenStreetMap,El Sagayno Cuisine,restaurant,,,10.3170654,123.899527,
OpenStreetMap,Kwikspar,restaurant,,,10.3189989,123.9015958,
OpenStreetMap,The apartelle,hotel,,,10.3180449,123.8953998,
OpenStreetMap,TGI Fridays,restaurant,,,10.3184377,123.9052263,
OpenStreetMap,Shakey's,restaurant,,,10.3183188,123.9051478,
OpenStreetMap,Pizza Hut,restaurant,,,10.3185695,123.9048501,
OpenStreetMap,Bo's Coffee,cafe,,,10.3196541,123.9045201,
OpenStreetMap,Bo's Coffee,cafe,,,10.3094281,123.8939871,
OpenStreetMap,Marjo's Pochero,restaurant,,,10.3166306,123.9005174,
OpenStreetMap,Pakals Restaurant,restaurant,,,10.3110893,123.8974732,
OpenStreetMap,Bintana Coffee House and Restaurant,restaurant,,,10.315047,123.8960055,
OpenStreetMap,EATiology,restaurant,,,10.3134215,123.8963328,
OpenStreetMap,Familia Xiamen Cuisine,restaurant,,,10.3102759,123.8964857,
OpenStreetMap,MR. COFFEE,cafe,,,10.3101176,123.8964106,
OpenStreetMap,The Philly,bar,,,10.3117537,123.8987494,
OpenStreetMap,Camp site for Naupa Summit Trail,camp_site,,,10.2733974,123.73056,
OpenStreetMap,DLS Chicken,restaurant,,,10.3206496,123.9110566,
OpenStreetMap,Richmond Cafe,cafe,,,10.3139585,123.9014472,
OpenStreetMap,Common Ground,cafe,,,10.3165752,123.9002517,
OpenStreetMap,Myra's Family Inn,guest_house,,,10.3117666,123.900446,
OpenStreetMap,Kanpai KTV&Lounge,bar,,,10.3104624,123.8995681,
OpenStreetMap,Rose Carinderia,restaurant,,,10.3167071,123.8985841,
OpenStreetMap,Bunks Hostel,hotel,,,10.311556,123.8954835,
OpenStreetMap,Little India,restaurant,,,10.3096152,123.8958049,
OpenStreetMap,Fr. Landz Pizza,restaurant,,,10.3147385,123.8857578,
OpenStreetMap,Bo's Coffee,cafe,,,10.3125529,123.8948617,
OpenStreetMap,Axcel's Foodhaus,restaurant,,,10.3157732,123.9012853,
OpenStreetMap,Axcel's Foodhaus,restaurant,,,10.3153881,123.9013642,
OpenStreetMap,AGM Pension House,guest_house,,,10.3768981,123.6370605,
OpenStreetMap,Kusinang Pinoy,restaurant,,,10.310769,123.8918698,
OpenStreetMap,Bo's Coffee,cafe,,,10.3105368,123.8917974,
OpenStreetMap,Flame It,restaurant,,,10.3103837,123.8921192,
OpenStreetMap,P.H.A.T. Pho,restaurant,,,10.3100327,123.8921165,
OpenStreetMap,The Coffee Bean & Tea Leaf,cafe,,,10.3101853,123.8919058,
OpenStreetMap,Dimsum Talk Fusion,restaurant,,,10.3107268,123.891741,
OpenStreetMap,Orange Brutus,restaurant,,,10.3106291,123.8919476,
OpenStreetMap,Bai,restaurant,,,10.3100618,123.896274,
OpenStreetMap,You,restaurant,,,10.3100915,123.8963346,
OpenStreetMap,Fitness Center Allson's Gym,sports_centre,,,10.309557,123.9036852,
OpenStreetMap,Starbucks,cafe,,,10.317351,123.9031146,
OpenStreetMap,Mic Check KTV,restaurant,,,10.3169546,123.8934507,
OpenStreetMap,Calda Pizza,restaurant,,,10.3125851,123.8954879,
OpenStreetMap,Sprocketeer,restaurant,,,10.3126379,123.8948379,
OpenStreetMap,Don Merto's Restaurant and Deli,restaurant,,,10.3156192,123.894329,
OpenStreetMap,BBQ City,restaurant,,,10.3131935,123.8948197,
OpenStreetMap,Majic Wellness Cafe,cafe,,,10.3126578,123.8949967,
OpenStreetMap,KSL Lodge,guest_house,,,10.2950656,123.896567,
OpenStreetMap,Yulese's Resort,hotel,,,10.2371564,123.8276242,
OpenStreetMap,Kuya Don Grill Station,restaurant,,,10.3096353,123.9035401,
OpenStreetMap,Enrod Apartelle,hostel,,,10.3094506,123.903457,
OpenStreetMap,Queensland,motel,,,10.3070304,123.9095095,
OpenStreetMap,Cebu Guest House,guest_house,,,10.3112157,123.9030352,
OpenStreetMap,La Guardia Hotel Cebu,hotel,,,10.2967958,123.8980928,
OpenStreetMap,MGR resort,hotel,,,11.3292964,124.1158589,
OpenStreetMap,Hidden Beach,attraction,,,10.2408847,123.5621027,
OpenStreetMap,Alex Apartelle,hotel,,,10.2215861,123.5489681,
OpenStreetMap,RoMa Guesthouse,guest_house,,,10.3099344,123.8577886,
OpenStreetMap,Hagnaya beach resort,hotel,,,11.0867064,123.9545203,
OpenStreetMap,Jones Brothers Pizza,restaurant,,,10.3129966,123.8924304,
OpenStreetMap,Laser Blitz Laser Tag,pitch,,,10.3253311,123.9334371,"Laser Blitz is a live-action sport, a combination of paintball and video games. Players enter a laser tag arena, armed with their laser tag phaser and vest. Players can be divided into teams, or sent out on their own. The objective? Shoot"
OpenStreetMap,Bo's Coffee,cafe,,,10.3137209,123.8925845,
OpenStreetMap,Espresso Bay,cafe,,,10.317666,123.8947045,
OpenStreetMap,Airol Pension House,guest_house,,,10.2963989,123.8927009,
OpenStreetMap,Aquamarine Fitness Gym,fitness_centre,,,10.3202594,123.9031328,
OpenStreetMap,Cebu Holiday Health and Fitness Center,fitness_centre,,,10.3198301,123.9014953,
OpenStreetMap,Le Cafe Le Noir,cafe,,,10.3202573,123.8997802,
OpenStreetMap,6th Pylon Campsite,camp_site,,,10.34946,123.8470591,Campsite
OpenStreetMap,Kan-Anan Cebuano Restaurant,restaurant,,,10.3203889,123.9034363,
OpenStreetMap,Skyblue Hotel,hotel,,,10.3098965,123.894778,
OpenStreetMap,Manuel's Restaurant,restaurant,,,10.3203016,123.9032134,
OpenStreetMap,Kimton's Lodging Inn,hostel,,,10.3150136,123.8923207,
OpenStreetMap,Normar Lodge,hostel,,,10.3162618,123.8917065,
OpenStreetMap,Residencia Santa Clara,hostel,,,10.3161389,123.8913545,
OpenStreetMap,Sanson Lodging House,hostel,,,10.3152194,123.8921108,
OpenStreetMap,Tops Resto Korean BBQ,restaurant,,,10.3396546,123.896398,
OpenStreetMap,Cafe Capriccio,restaurant,,,10.3394611,123.8963868,
OpenStreetMap,Busay View Grill,restaurant,,,10.3528066,123.8869299,
OpenStreetMap,Muvanz Pocherohan and Seafood,restaurant,,,10.3114228,123.8950029,
OpenStreetMap,Coffee Bean Scent,cafe,,,10.3105441,123.8966579,
OpenStreetMap,Cafeteria Jose,cafe,,,10.3128279,123.8956627,
OpenStreetMap,Casa Pelaez Luxury Suite,guest_house,,,10.3079037,123.9015414,
OpenStreetMap,Pool Bar @ Mandarin Plaza Hotel,bar,,,10.3197482,123.9033309,
OpenStreetMap,8th Street Bar & Coffee Lounge,cafe,,,10.3195555,123.9030895,
OpenStreetMap,Puso Bistro & Bar,restaurant,,,10.3197033,123.9032263,
OpenStreetMap,Club Hanabi KTV,bar,,,10.3389631,123.9278727,
OpenStreetMap,Pizzeria Michelangelo Italiano Restaurant,restaurant,,,10.3177324,123.8941071,
OpenStreetMap,Nesspresso,cafe,,,10.319917,123.9013745,
OpenStreetMap,Yolees Resto,restaurant,,,10.3200542,123.9013879,
